module_name,module_code,module_description,framework_languages,children,
تعريف التربية الوالدية,FMPS_MC003_01,No DESCRIPTION,"arabic;english,french","QUIZ 1.تعريف التربية الوالدية,""تعريف التربية الوالدية""",
أهمية وأهداف التربية الوالدية,FMPS_MC003_02,No DESCRIPTION,"arabic;english,french","QUIZ 2.أهمية وأهداف التربية الوالدية,""أهمية وأهداف التربية الوالدية""",
I أساليب نجاح التربية الوالدية,FMPS_MC003_03,No DESCRIPTION,"arabic;english,french","QUIZ 3. I أساليب نجاح التربية الوالدية,""I أساليب نجاح التربية الوالدية""",
II أساليب نجاح التربية الوالدية,FMPS_MC003_04,No DESCRIPTION,"arabic;english,french","QUIZ 4. II أساليب نجاح التربية الوالدية,""II أساليب نجاح التربية الوالدية""",
مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_MC003_05,No DESCRIPTION,"arabic;english,french","QUIZ 5.مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,""مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية""",
فوائد مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_MC003_06,No DESCRIPTION,"arabic;english,french","QUIZ 6.مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,""فوائد مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية""",
تعريف نظريات التعلم واهميتها,FMPS_MC004_01,No DESCRIPTION,"arabic;english,french","QUIZ 1.تعريف نظريات التعلم واهميتها,""تعريف نظريات التعلم واهميتها""",
النظرية السلوكية,FMPS_MC004_02,No DESCRIPTION,"arabic;english,french","QUIZ 2.النظرية السلوكية,""النظرية السلوكية""",
التطبيق البيداغوجي للنظرية السلوكية,FMPS_MC004_03,No DESCRIPTION,"arabic;english,french","QUIZ 3.التطبيق البيداغوجي للنظرية السلوكية,""التطبيق البيداغوجي للنظرية السلوكية""",
النظرية البنائية,FMPS_MC004_04,No DESCRIPTION,"arabic;english,french","QUIZ 4.النظرية البنائية,""النظرية البنائية""",
التطبيق البيداغوجي للنظرية البنائية,FMPS_MC004_05,No DESCRIPTION,"arabic;english,french","QUIZ 5.التطبيق البيداغوجي للنظرية البنائية,""التطبيق البيداغوجي للنظرية البنائية""",
النظرية الجشطالتية,FMPS_MC004_06,No DESCRIPTION,"arabic;english,french","QUIZ 6.النظرية الجشطالتية,""النظرية الجشطالتية""",
التطبيق البيداغوجي للنظرية الجشطلتية,FMPS_MC004_07,No DESCRIPTION,"arabic;english,french","QUIZ 7. التطبيق البيداغوجي للنظرية الجشطلتية,""التطبيق البيداغوجي للنظرية الجشطلتية""",
النظرية السوسيوبنائية,FMPS_MC004_08,No DESCRIPTION,"arabic;english,french","QUIZ 8. النظرية السوسيوبنائية,""النظرية السوسيوبنائية""",
كيفية التطبيق البيداغوجي للنظرية السوسيوبنائية,FMPS_MC004_09,No DESCRIPTION,"arabic;english,french","QUIZ 9. كيفية التطبيق البيداغوجي للنظرية السوسيوبنائية,""كيفية التطبيق البيداغوجي للنظرية السوسيوبنائية""",
النظرية المعرفية,FMPS_MC004_10,No DESCRIPTION,"arabic;english,french","QUIZ 10. النظرية المعرفية,""النظرية المعرفية""",
مبادئ واسس النظرية المعرفية,FMPS_MC004_11,No DESCRIPTION,"arabic;english,french","QUIZ 11. مبادئ واسس النظرية المعرفية,""مبادئ واسس النظرية المعرفية""",
خلاصة لنظريات التعلم,FMPS_MC004_12,No DESCRIPTION,"arabic;english,french","QUIZ 12. خلاصة لنظريات التعلم,""خلاصة لنظريات التعلم""",
